[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2360175
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
##### NOW beta =  1 ############

itern =  1  , diff =  114.80364158483295 114.80364158483295  , x =  0.25 0.25
itern =  2  , diff =  27.74376617595434 27.74376617595434  , x =  0.25 0.25
itern =  3  , diff =  20.53913305830932 20.53913305830932  , x =  0.25 0.25
itern =  4  , diff =  15.196560769067126 15.196560769067126  , x =  0.25 0.25
itern =  5  , diff =  11.236993620242954 11.236993620242954  , x =  0.25 0.25
itern =  6  , diff =  8.304082715538526 8.304082715538526  , x =  0.25 0.25
itern =  7  , diff =  6.132887274299547 6.132887274299547  , x =  0.25 0.25
itern =  8  , diff =  4.526527243128952 4.526527243128952  , x =  0.25 0.25
itern =  9  , diff =  3.338775099446966 3.338775099446966  , x =  0.25 0.25
itern =  10  , diff =  2.4610818536169057 2.4610818536169057  , x =  0.25 0.25
itern =  11  , diff =  1.812912176414141 1.812912176414141  , x =  0.25 0.25
itern =  12  , diff =  1.334547982703787 1.334547982703787  , x =  0.25 0.25
itern =  13  , diff =  0.9817325770792823 0.9817325770792823  , x =  0.25 0.25
itern =  14  , diff =  0.7216865779503361 0.7216865779503361  , x =  0.25 0.25
itern =  15  , diff =  0.5301457693805884 0.5301457693805884  , x =  0.25 0.25
itern =  16  , diff =  0.3891598966935635 0.3891598966935635  , x =  0.25 0.25
itern =  17  , diff =  0.28545779843177843 0.28545779843177843  , x =  0.25 0.25
itern =  18  , diff =  0.20923382649180622 0.20923382649180622  , x =  0.25 0.25
itern =  19  , diff =  0.1532474944691351 0.1532474944691351  , x =  0.25 0.25
itern =  20  , diff =  0.11215588867694368 0.11215588867694368  , x =  0.25 0.25
itern =  21  , diff =  0.08201895377653462 0.08201895377653462  , x =  0.25 0.25
itern =  22  , diff =  0.05993310280656626 0.05993310280656626  , x =  0.25 0.25
itern =  23  , diff =  0.04376002845521943 0.04376002845521943  , x =  0.25 0.25
itern =  24  , diff =  0.031926101616462976 0.031926101616462976  , x =  0.25 0.25
itern =  25  , diff =  0.023274076524354318 0.023274076524354318  , x =  0.25 0.25
itern =  26  , diff =  0.01695353303193721 0.01695353303193721  , x =  0.25 0.25
itern =  27  , diff =  0.012339989432062468 0.012339989432062468  , x =  0.25 0.25
itern =  28  , diff =  0.008975222139451197 0.008975222139451197  , x =  0.25 0.25
itern =  29  , diff =  0.006523261713856515 0.006523261713856515  , x =  0.25 0.25
itern =  30  , diff =  0.004737969623797179 0.004737969623797179  , x =  0.25 0.25
itern =  31  , diff =  0.003439164595571031 0.003439164595571031  , x =  0.25 0.25
itern =  32  , diff =  0.002495056616626861 0.002495056616626861  , x =  0.25 0.25
itern =  33  , diff =  0.0018093314046985776 0.0018093314046985776  , x =  0.25 0.25
itern =  34  , diff =  0.0013116612061509555 0.0013116612061509555  , x =  0.25 0.25
itern =  35  , diff =  0.000950738231753994 0.000950738231753994  , x =  0.25 0.25
itern =  36  , diff =  0.0006891640708292259 0.0006891640708292259  , x =  0.25 0.25
itern =  37  , diff =  0.0004997036028422004 0.0004997036028422004  , x =  0.25 0.25
itern =  38  , diff =  0.00036254132904154696 0.00036254132904154696  , x =  0.25 0.25
itern =  39  , diff =  0.0002632735652232498 0.0002632735652232498  , x =  0.25 0.25
itern =  40  , diff =  0.00019144040025023142 0.00019144040025023142  , x =  0.25 0.25
itern =  41  , diff =  0.00013945326059194773 0.00013945326059194773  , x =  0.25 0.25
itern =  42  , diff =  0.00010181218777946333 0.00010181218777946333  , x =  0.25 0.25
itern =  43  , diff =  7.453508446976471e-05 7.453508446976471e-05  , x =  0.25 0.25
itern =  44  , diff =  5.4741905932993726e-05 5.4741905932993726e-05  , x =  0.25 0.25
itern =  45  , diff =  4.0351993009366934e-05 4.0351993009366934e-05  , x =  0.25 0.25
itern =  46  , diff =  2.9863927480286727e-05 2.9863927480286727e-05  , x =  0.25 0.25
itern =  47  , diff =  2.219550900490968e-05 2.219550900490968e-05  , x =  0.25 0.25
itern =  48  , diff =  1.656749853243545e-05 1.656749853243545e-05  , x =  0.25 0.25
itern =  49  , diff =  1.2419209068251685e-05 1.2419209068251685e-05  , x =  0.25 0.25
itern =  50  , diff =  9.347281919674892e-06 9.347281919674892e-06  , x =  0.25 0.25
##### NOW beta =  2 ############

itern =  1  , diff =  371.00837330810833 371.00837330810833  , x =  0.25 0.25
itern =  2  , diff =  93.3994735730341 93.3994735730341  , x =  0.25 0.25
