[/bin/bash] ## This is shankaras1 on #HOSTNAME and job ID 2436702
[/bin/bash] Current working directory: /home/shankaras1/data1/Maj_WH
[/bin/bash] Running Python script
Outputs directory created
Dump directory created
dw =  2.3968449809785852e-05
dt =  0.0625
T Target =  0.0004997501249375312
itern =  1  , diff =  65698.95998945118  , x =  0.01
itern =  2  , diff =  125167.83730910138  , x =  0.01
itern =  3  , diff =  121877.24535568806  , x =  0.01
itern =  4  , diff =  116261.38742233996  , x =  0.01
itern =  5  , diff =  109733.71783606692  , x =  0.01
itern =  6  , diff =  103671.83333071701  , x =  0.01
itern =  7  , diff =  98736.09043212107  , x =  0.01
itern =  8  , diff =  94707.10970089704  , x =  0.01
itern =  9  , diff =  91309.74054317501  , x =  0.01
itern =  10  , diff =  88347.46550654307  , x =  0.01
itern =  11  , diff =  85694.24489586646  , x =  0.01
itern =  12  , diff =  83270.5173339076  , x =  0.01
itern =  13  , diff =  81025.39546055964  , x =  0.01
itern =  14  , diff =  78925.30933490973  , x =  0.01
itern =  15  , diff =  76946.87391089808  , x =  0.01
itern =  16  , diff =  75072.67949570503  , x =  0.01
itern =  17  , diff =  73289.02313863266  , x =  0.01
itern =  18  , diff =  71584.73269767934  , x =  0.01
itern =  19  , diff =  69950.52559133286  , x =  0.01
itern =  20  , diff =  68378.62661312825  , x =  0.01
itern =  21  , diff =  66862.5467722766  , x =  0.01
itern =  22  , diff =  65397.01184760458  , x =  0.01
itern =  23  , diff =  63978.0056897943  , x =  0.01
itern =  24  , diff =  62602.71712575315  , x =  0.01
itern =  25  , diff =  61269.08200529541  , x =  0.01
itern =  26  , diff =  59975.05004020725  , x =  0.01
itern =  27  , diff =  58718.19452318695  , x =  0.01
itern =  28  , diff =  57495.87238662062  , x =  0.01
itern =  29  , diff =  56305.554278962525  , x =  0.01
itern =  30  , diff =  55145.02162122961  , x =  0.01
itern =  31  , diff =  54012.40936848532  , x =  0.01
itern =  32  , diff =  52906.16965362281  , x =  0.01
itern =  33  , diff =  51825.01275939632  , x =  0.01
itern =  34  , diff =  50767.85065494054  , x =  0.01
itern =  35  , diff =  49733.75070912426  , x =  0.01
itern =  36  , diff =  48721.90002905186  , x =  0.01
itern =  37  , diff =  47731.578673419965  , x =  0.01
itern =  38  , diff =  46762.139694520796  , x =  0.01
itern =  39  , diff =  45812.99425759092  , x =  0.01
itern =  40  , diff =  44883.60048613597  , x =  0.01
itern =  41  , diff =  43973.45503408021  , x =  0.01
itern =  42  , diff =  43082.08665858594  , x =  0.01
itern =  43  , diff =  42209.05126815171  , x =  0.01
itern =  44  , diff =  41353.9280650229  , x =  0.01
itern =  45  , diff =  40516.31650403634  , x =  0.01
itern =  46  , diff =  39695.833863674954  , x =  0.01
itern =  47  , diff =  38892.11327803296  , x =  0.01
itern =  48  , diff =  38104.8021167517  , x =  0.01
itern =  49  , diff =  37333.56062814596  , x =  0.01
itern =  50  , diff =  36578.06078164554  , x =  0.01
itern =  51  , diff =  35837.985261448426  , x =  0.01
itern =  52  , diff =  35113.02657532287  , x =  0.01
itern =  53  , diff =  34402.88625182845  , x =  0.01
itern =  54  , diff =  33707.274106510195  , x =  0.01
itern =  55  , diff =  33025.907563376946  , x =  0.01
itern =  56  , diff =  32358.511022499297  , x =  0.01
itern =  57  , diff =  31704.815268125854  , x =  0.01
itern =  58  , diff =  31064.556914464454  , x =  0.01
itern =  59  , diff =  30437.477888348563  , x =  0.01
itern =  60  , diff =  29823.324949477763  , x =  0.01
itern =  61  , diff =  29221.84924988776  , x =  0.01
itern =  62  , diff =  28632.805934806238  , x =  0.01
itern =  63  , diff =  28055.95378716832  , x =  0.01
itern =  64  , diff =  27491.054917832415  , x =  0.01
itern =  65  , diff =  26937.874503046874  , x =  0.01
itern =  66  , diff =  26396.18057000097  , x =  0.01
itern =  67  , diff =  25865.743830432577  , x =  0.01
itern =  68  , diff =  25346.337561328  , x =  0.01
itern =  69  , diff =  24837.73753077656  , x =  0.01
itern =  70  , diff =  24339.72196612347  , x =  0.01
itern =  71  , diff =  23852.071560717293  , x =  0.01
itern =  72  , diff =  23374.56951484919  , x =  0.01
itern =  73  , diff =  22907.001605918616  , x =  0.01
itern =  74  , diff =  22449.15628250314  , x =  0.01
itern =  75  , diff =  22000.82477681811  , x =  0.01
itern =  76  , diff =  21561.801230058307  , x =  0.01
itern =  77  , diff =  21131.882825283807  , x =  0.01
itern =  78  , diff =  20710.869922836468  , x =  0.01
itern =  79  , diff =  20298.566193717736  , x =  0.01
itern =  80  , diff =  19894.778746900854  , x =  0.01
itern =  81  , diff =  19499.31824715759  , x =  0.01
itern =  82  , diff =  19111.99902061346  , x =  0.01
itern =  83  , diff =  18732.63914589397  , x =  0.01
itern =  84  , diff =  18361.06052935246  , x =  0.01
itern =  85  , diff =  17997.08896344877  , x =  0.01
itern =  86  , diff =  17640.554167899572  , x =  0.01
itern =  87  , diff =  17291.289813673287  , x =  0.01
itern =  88  , diff =  16949.133530319254  , x =  0.01
itern =  89  , diff =  16613.926897435875  , x =  0.01
itern =  90  , diff =  16285.51542134877  , x =  0.01
itern =  91  , diff =  15963.74849824931  , x =  0.01
itern =  92  , diff =  15648.479365176003  , x =  0.01
itern =  93  , diff =  15339.56504028702  , x =  0.01
itern =  94  , diff =  15036.866253895816  , x =  0.01
itern =  95  , diff =  14740.247371724274  , x =  0.01
itern =  96  , diff =  14449.576311776305  , x =  0.01
itern =  97  , diff =  14164.724456160522  , x =  0.01
