############ Started : target beta = ,  1001  #############
##### Finished beta =  1 ############
diff = 1.5383e-12, itern = 10, free energy = 0.0, x = 1.0
##### Finished beta =  2 ############
diff = 9.2545e-11, itern = 428, free energy = 0.0, x = 1.0
##### Finished beta =  3 ############
diff = 9.5862e-11, itern = 339, free energy = 0.0, x = 1.0
##### Finished beta =  4 ############
diff = 9.4999e-11, itern = 311, free energy = 0.0, x = 1.0
##### Finished beta =  5 ############
diff = 8.5727e-11, itern = 306, free energy = 0.0, x = 1.0
##### Finished beta =  6 ############
diff = 9.4086e-11, itern = 320, free energy = 0.0, x = 1.0
##### Finished beta =  7 ############
diff = 7.1915e-11, itern = 350, free energy = 0.0, x = 1.0
##### Finished beta =  8 ############
diff = 9.7764e-11, itern = 350, free energy = 0.0, x = 1.0
##### Finished beta =  9 ############
diff = 8.1968e-11, itern = 554, free energy = 0.0, x = 1.0
Nbig14beta10lamb0_1J0g0_5r1_0.npy
##### Finished beta =  10 ############
diff = 9.405e-11, itern = 423, free energy = 0.0, x = 1.0
##### Finished beta =  11 ############
diff = 7.8805e-11, itern = 467, free energy = 0.0, x = 1.0
##### Finished beta =  12 ############
diff = 8.9407e-11, itern = 497, free energy = 0.0, x = 1.0
##### Finished beta =  13 ############
diff = 7.4673e-11, itern = 510, free energy = 0.0, x = 1.0
##### Finished beta =  14 ############
diff = 7.4563e-11, itern = 554, free energy = 0.0, x = 1.0
##### Finished beta =  15 ############
diff = 9.5061e-11, itern = 582, free energy = 0.0, x = 1.0
##### Finished beta =  16 ############
diff = 8.6634e-11, itern = 640, free energy = 0.0, x = 1.0
##### Finished beta =  17 ############
diff = 9.0022e-11, itern = 830, free energy = 0.0, x = 1.0
##### Finished beta =  18 ############
diff = 9.557e-11, itern = 908, free energy = 0.0, x = 1.0
##### Finished beta =  19 ############
diff = 8.7046e-11, itern = 974, free energy = 0.0, x = 1.0
Nbig14beta20lamb0_1J0g0_5r1_0.npy
##### Finished beta =  20 ############
diff = 9.2457e-11, itern = 1049, free energy = 0.0, x = 1.0
##### Finished beta =  21 ############
diff = 8.6538e-11, itern = 1141, free energy = 0.0, x = 1.0
##### Finished beta =  22 ############
diff = 9.8145e-11, itern = 1242, free energy = 0.0, x = 1.0
##### Finished beta =  23 ############
diff = 8.9385e-11, itern = 1349, free energy = 0.0, x = 1.0
##### Finished beta =  24 ############
diff = 9.2141e-11, itern = 1373, free energy = 0.0, x = 1.0
##### Finished beta =  25 ############
diff = 8.6644e-11, itern = 1438, free energy = 0.0, x = 1.0
##### Finished beta =  26 ############
diff = 9.8953e-11, itern = 1425, free energy = 0.0, x = 1.0
##### Finished beta =  27 ############
diff = 9.3577e-11, itern = 1424, free energy = 0.0, x = 1.0
##### Finished beta =  28 ############
diff = 9.1762e-11, itern = 1391, free energy = 0.0, x = 1.0
##### Finished beta =  29 ############
diff = 9.4092e-11, itern = 1360, free energy = 0.0, x = 1.0
##### Finished beta =  30 ############
diff = 8.8722e-11, itern = 1313, free energy = 0.0, x = 1.0
##### Finished beta =  31 ############
diff = 8.9002e-11, itern = 1253, free energy = 0.0, x = 1.0
##### Finished beta =  32 ############
diff = 9.4494e-11, itern = 1203, free energy = 0.0, x = 1.0
##### Finished beta =  33 ############
diff = 8.9716e-11, itern = 1159, free energy = 0.0, x = 1.0
##### Finished beta =  34 ############
diff = 8.7946e-11, itern = 1124, free energy = 0.0, x = 1.0
##### Finished beta =  35 ############
diff = 9.8617e-11, itern = 1048, free energy = 0.0, x = 1.0
##### Finished beta =  36 ############
diff = 8.6368e-11, itern = 1023, free energy = 0.0, x = 1.0
##### Finished beta =  37 ############
diff = 8.8046e-11, itern = 984, free energy = 0.0, x = 1.0
##### Finished beta =  38 ############
diff = 9.3858e-11, itern = 951, free energy = 0.0, x = 1.0
##### Finished beta =  39 ############
diff = 8.6538e-11, itern = 917, free energy = 0.0, x = 1.0
##### Finished beta =  40 ############
diff = 9.8494e-11, itern = 869, free energy = 0.0, x = 1.0
##### Finished beta =  41 ############
diff = 9.15e-11, itern = 855, free energy = 0.0, x = 1.0
##### Finished beta =  42 ############
diff = 8.9084e-11, itern = 837, free energy = 0.0, x = 1.0
##### Finished beta =  43 ############
diff = 9.2097e-11, itern = 810, free energy = 0.0, x = 1.0
##### Finished beta =  44 ############
diff = 9.0458e-11, itern = 795, free energy = 0.0, x = 1.0
##### Finished beta =  45 ############
diff = 9.0744e-11, itern = 780, free energy = 0.0, x = 1.0
##### Finished beta =  46 ############
diff = 9.616e-11, itern = 751, free energy = 0.0, x = 1.0
##### Finished beta =  47 ############
diff = 8.2676e-11, itern = 747, free energy = 0.0, x = 1.0
##### Finished beta =  48 ############
diff = 9.1681e-11, itern = 720, free energy = 0.0, x = 1.0
##### Finished beta =  49 ############
diff = 9.9548e-11, itern = 691, free energy = 0.0, x = 1.0
Nbig14beta50lamb0_1J0g0_5r1_0.npy
##### Finished beta =  50 ############
diff = 8.5803e-11, itern = 691, free energy = 0.0, x = 1.0
