Outputs directory created
Dump directory created
dw =  0.00019174759848539225
dt =  0.0625
T Target =  0.004975124378109453
itern =  1  , diff =  3302371.9811234763  , x =  0.25
itern =  2  , diff =  634636.2403281614  , x =  0.275
itern =  3  , diff =  327938.1111581249  , x =  0.30250000000000005
itern =  4  , diff =  235040.14758122113  , x =  0.3327500000000001
itern =  5  , diff =  127492.3439495616  , x =  0.36602500000000016
itern =  6  , diff =  71291.7065284932  , x =  0.4026275000000002
itern =  7  , diff =  40667.01292100115  , x =  0.44289025000000026
itern =  8  , diff =  54308.03883036303  , x =  0.22144512500000013
itern =  9  , diff =  4192.990811715688  , x =  0.24358963750000018
itern =  10  , diff =  10827.065491760448  , x =  0.12179481875000009
itern =  11  , diff =  2410.710287534019  , x =  0.1339743006250001
itern =  12  , diff =  4548.86657433003  , x =  0.06698715031250005
itern =  13  , diff =  380.6723168326456  , x =  0.07368586534375006
itern =  14  , diff =  387.6688585467223  , x =  0.03684293267187503
itern =  15  , diff =  84.81267325910125  , x =  0.040527225939062536
itern =  16  , diff =  97.4078134676131  , x =  0.020263612969531268
itern =  17  , diff =  23.155875427736373  , x =  0.022289974266484398
itern =  18  , diff =  27.39017873799802  , x =  0.011144987133242199
itern =  19  , diff =  6.688596224978035  , x =  0.01225948584656642
itern =  20  , diff =  8.00349521092167  , x =  0.01225948584656642
itern =  21  , diff =  7.9089982336135805  , x =  0.013485434431223063
itern =  22  , diff =  9.46061558749909  , x =  0.013485434431223063
itern =  23  , diff =  9.345889020012557  , x =  0.01483397787434537
itern =  24  , diff =  11.17634581230137  , x =  0.01483397787434537
itern =  25  , diff =  11.038113078499341  , x =  0.016317375661779907
itern =  26  , diff =  13.197534829123633  , x =  0.016317375661779907
itern =  27  , diff =  13.032441799002191  , x =  0.017949113227957898
itern =  28  , diff =  15.580777657022253  , x =  0.017949113227957898
itern =  29  , diff =  15.385561261662025  , x =  0.019744024550753688
itern =  30  , diff =  18.394867412630898  , x =  0.019744024550753688
itern =  31  , diff =  18.166574351229606  , x =  0.021718427005829058
itern =  32  , diff =  21.723884186712684  , x =  0.010859213502914529
itern =  33  , diff =  5.365039724767048  , x =  0.011945134853205983
itern =  34  , diff =  6.454182116820583  , x =  0.011945134853205983
itern =  35  , diff =  6.4144982184262584  , x =  0.013139648338526582
itern =  36  , diff =  7.7154735980901235  , x =  0.013139648338526582
itern =  37  , diff =  7.666930670365468  , x =  0.014453613172379242
itern =  38  , diff =  9.22086423113319  , x =  0.014453613172379242
itern =  39  , diff =  9.16198305171561  , x =  0.015898974489617166
itern =  40  , diff =  11.01823727420492  , x =  0.015898974489617166
itern =  41  , diff =  10.947484666277877  , x =  0.017488871938578884
itern =  42  , diff =  13.165450425713843  , x =  0.017488871938578884
itern =  43  , diff =  13.081325637385163  , x =  0.019237759132436773
itern =  44  , diff =  15.732645904252294  , x =  0.019237759132436773
itern =  45  , diff =  15.633807419253124  , x =  0.02116153504568045
itern =  46  , diff =  18.805140828712652  , x =  0.010580767522840226
itern =  47  , diff =  4.6726450332159075  , x =  0.011638844275124249
itern =  48  , diff =  5.637596491408269  , x =  0.011638844275124249
itern =  49  , diff =  5.620343805124902  , x =  0.012802728702636674
itern =  50  , diff =  6.780583592944628  , x =  0.012802728702636674
itern =  51  , diff =  6.759473631581178  , x =  0.014083001572900343
itern =  52  , diff =  8.154561610401442  , x =  0.014083001572900343
itern =  53  , diff =  8.12896760920826  , x =  0.01549130173019038
itern =  54  , diff =  9.806615443215346  , x =  0.01549130173019038
itern =  55  , diff =  9.775904098375591  , x =  0.01704043190320942
itern =  56  , diff =  11.79372526651601  , x =  0.01704043190320942
itern =  57  , diff =  11.757302750710359  , x =  0.01874447509353036
itern =  58  , diff =  14.184958576041872  , x =  0.01874447509353036
itern =  59  , diff =  14.14233613673838  , x =  0.020618922602883397
itern =  60  , diff =  17.06416859366228  , x =  0.010309461301441699
itern =  61  , diff =  4.253762640946494  , x =  0.01134040743158587
itern =  62  , diff =  5.140109695784594  , x =  0.01134040743158587
itern =  63  , diff =  5.132776032127998  , x =  0.012474448174744458
itern =  64  , diff =  6.202164953798301  , x =  0.012474448174744458
itern =  65  , diff =  6.193233929051177  , x =  0.013721892992218904
itern =  66  , diff =  7.483521208424623  , x =  0.013721892992218904
itern =  67  , diff =  7.472755721792353  , x =  0.015094082291440795
itern =  68  , diff =  9.029700486815445  , x =  0.015094082291440795
itern =  69  , diff =  9.01687489415678  , x =  0.016603490520584876
itern =  70  , diff =  10.895822998194895  , x =  0.016603490520584876
itern =  71  , diff =  10.88074849758626  , x =  0.018263839572643364
itern =  72  , diff =  13.14868582003721  , x =  0.018263839572643364
itern =  73  , diff =  13.131246676156366  , x =  0.020090223529907702
itern =  74  , diff =  15.869304259521373  , x =  0.010045111764953851
itern =  75  , diff =  3.962376937069995  , x =  0.011049622941449237
itern =  76  , diff =  4.791744956866723  , x =  0.011049622941449237
itern =  77  , diff =  4.78887337081711  , x =  0.012154585235594161
itern =  78  , diff =  5.79123425107889  , x =  0.012154585235594161
itern =  79  , diff =  5.787781444090568  , x =  0.013370043759153578
itern =  80  , diff =  6.999271953471354  , x =  0.013370043759153578
itern =  81  , diff =  6.995176374077252  , x =  0.014707048135068937
itern =  82  , diff =  8.45952491326348  , x =  0.014707048135068937
itern =  83  , diff =  8.45474646903794  , x =  0.016177752948575833
itern =  84  , diff =  10.22488818030963  , x =  0.016177752948575833
itern =  85  , diff =  10.219427080462115  , x =  0.017795528243433417
itern =  86  , diff =  12.35947043426287  , x =  0.017795528243433417
itern =  87  , diff =  12.353395446442821  , x =  0.01957508106777676
itern =  88  , diff =  14.941020041403045  , x =  0.01957508106777676
itern =  89  , diff =  14.934510766619443  , x =  0.021532589174554438
itern =  90  , diff =  18.063896161789536  , x =  0.010766294587277219
itern =  91  , diff =  4.514326713907044  , x =  0.011842924046004942
itern =  92  , diff =  5.461601035636033  , x =  0.011842924046004942
itern =  93  , diff =  5.4608672464148595  , x =  0.013027216450605438
itern =  94  , diff =  6.606872075240899  , x =  0.013027216450605438
itern =  95  , diff =  6.606118319526599  , x =  0.014329938095665982
itern =  96  , diff =  7.992645498357386  , x =  0.014329938095665982
itern =  97  , diff =  7.991950562592881  , x =  0.01576293190523258
itern =  98  , diff =  9.669635178219444  , x =  0.01576293190523258
itern =  99  , diff =  9.669137114669269  , x =  0.01733922509575584
itern =  100  , diff =  11.699356190814182  , x =  0.01733922509575584
itern =  101  , diff =  11.699286235818503  , x =  0.019073147605331426
itern =  102  , diff =  14.156479287566267  , x =  0.019073147605331426
itern =  103  , diff =  14.157214559808656  , x =  0.019073147605331426
itern =  104  , diff =  14.158452731047705  , x =  0.019073147605331426
itern =  105  , diff =  14.16018483190759  , x =  0.019073147605331426
itern =  106  , diff =  14.162403500110685  , x =  0.019073147605331426
itern =  107  , diff =  14.165102865950168  , x =  0.019073147605331426
itern =  108  , diff =  14.16827844301478  , x =  0.019073147605331426
itern =  109  , diff =  14.171927024202995  , x =  0.019073147605331426
itern =  110  , diff =  14.176046583066482  , x =  0.019073147605331426
itern =  111  , diff =  14.180636180523255  , x =  0.019073147605331426
itern =  112  , diff =  14.185695876978192  , x =  0.019073147605331426
itern =  113  , diff =  14.191226649883065  , x =  0.019073147605331426
itern =  114  , diff =  14.197230316760718  , x =  0.019073147605331426
itern =  115  , diff =  14.203709463706883  , x =  0.019073147605331426
itern =  116  , diff =  14.210667379372563  , x =  0.019073147605331426
itern =  117  , diff =  14.218107994413865  , x =  0.019073147605331426
itern =  118  , diff =  14.22603582638379  , x =  0.019073147605331426
itern =  119  , diff =  14.234455930020548  , x =  0.019073147605331426
itern =  120  , diff =  14.243373852873493  , x =  0.019073147605331426
itern =  121  , diff =  14.252795596186568  , x =  0.019073147605331426
itern =  122  , diff =  14.262727580943453  , x =  0.019073147605331426
itern =  123  , diff =  14.273176618959415  , x =  0.019073147605331426
itern =  124  , diff =  14.28414988888661  , x =  0.019073147605331426
itern =  125  , diff =  14.295654916983182  , x =  0.019073147605331426
itern =  126  , diff =  14.307699562478819  , x =  0.019073147605331426
itern =  127  , diff =  14.320292007354194  , x =  0.019073147605331426
itern =  128  , diff =  14.333440750335962  , x =  0.019073147605331426
itern =  129  , diff =  14.347154604897245  , x =  0.019073147605331426
itern =  130  , diff =  14.361442701038962  , x =  0.019073147605331426
itern =  131  , diff =  14.376314490619313  , x =  0.019073147605331426
itern =  132  , diff =  14.391779755987702  , x =  0.019073147605331426
itern =  133  , diff =  14.407848621673246  , x =  0.019073147605331426
itern =  134  , diff =  14.42453156887275  , x =  0.019073147605331426
itern =  135  , diff =  14.441839452478316  , x =  0.019073147605331426
itern =  136  , diff =  14.459783520384283  , x =  0.019073147605331426
itern =  137  , diff =  14.47837543481272  , x =  0.019073147605331426
itern =  138  , diff =  14.49762729539852  , x =  0.019073147605331426
itern =  139  , diff =  14.517551663779955  , x =  0.019073147605331426
itern =  140  , diff =  14.538161589444766  , x =  0.019073147605331426
itern =  141  , diff =  14.55947063659092  , x =  0.019073147605331426
itern =  142  , diff =  14.581492911768569  , x =  0.019073147605331426
itern =  143  , diff =  14.60424309208198  , x =  0.019073147605331426
itern =  144  , diff =  14.627736453741093  , x =  0.019073147605331426
itern =  145  , diff =  14.651988900766394  , x =  0.019073147605331426
itern =  146  , diff =  14.677016993665463  , x =  0.019073147605331426
itern =  147  , diff =  14.702837977915346  , x =  0.019073147605331426
itern =  148  , diff =  14.729469812101335  , x =  0.019073147605331426
itern =  149  , diff =  14.75693119558087  , x =  0.019073147605331426
itern =  150  , diff =  14.785241595558963  , x =  0.019073147605331426
itern =  151  , diff =  14.81442127348063  , x =  0.019073147605331426
itern =  152  , diff =  14.8444913106644  , x =  0.019073147605331426
itern =  153  , diff =  14.875473633120995  , x =  0.019073147605331426
itern =  154  , diff =  14.907391035519375  , x =  0.019073147605331426
itern =  155  , diff =  14.940267204282783  , x =  0.019073147605331426
itern =  156  , diff =  14.97412673981509  , x =  0.019073147605331426
itern =  157  , diff =  15.008995177877305  , x =  0.019073147605331426
itern =  158  , diff =  15.044899010151125  , x =  0.019073147605331426
itern =  159  , diff =  15.081865704044558  , x =  0.019073147605331426
itern =  160  , diff =  15.11992372181064  , x =  0.019073147605331426
itern =  161  , diff =  15.159102539066563  , x =  0.019073147605331426
itern =  162  , diff =  15.199432662815575  , x =  0.019073147605331426
itern =  163  , diff =  15.24094564908675  , x =  0.019073147605331426
itern =  164  , diff =  15.283674120323315  , x =  0.019073147605331426
itern =  165  , diff =  15.32765178265926  , x =  0.019073147605331426
itern =  166  , diff =  15.372913443237662  , x =  0.019073147605331426
itern =  167  , diff =  15.419495027732586  , x =  0.019073147605331426
itern =  168  , diff =  15.467433598246208  , x =  0.019073147605331426
itern =  169  , diff =  15.516767371761087  , x =  0.019073147605331426
itern =  170  , diff =  15.56753573933445  , x =  0.019073147605331426
